Tier,City,Household Load kWh/year,PV Size kW,Battery Size kWh,PV Yield kWh/kW/year,Annual PV Generation kWh,PV Used by Household kWh,Grid Import kWh,Grid Export kWh,Self Consumption Ratio %,Self Sufficiency Ratio %,Peak Grid Reduction Proxy kWh/year,System Cost EUR,Annual Net Benefit EUR,Payback Years,NPV EUR,LCOE Proxy EUR/kWh,CO2 Savings kg/year,Lifetime CO2 Savings tonnes,CO2 Savings tonnes per EUR,Battery Final Health,Battery Replacement Year
Tier 2,Leipzig,5000,5,5,1000,5000,2750.0,2250.0,2250.0,55.0,55.0,550.0,9750,1127.5,8.65,2785.98,0.13,1045.0,15.68,0.001608,0.625,12.0
Tier 2,Leipzig,5000,5,8,1000,5000,3350.0,1650.0,1650.0,67.0,67.0,880.0,11700,1288.0,9.08,2620.48,0.156,1273.0,19.09,0.001632,0.625,12.0
Tier 2,Leipzig,5000,5,10,1000,5000,3500.0,1500.0,1500.0,70.0,70.0,1100.0,13000,1320.0,9.85,1676.27,0.173,1330.0,19.95,0.001535,0.625,12.0
Tier 2,Leipzig,5000,5,12,1000,5000,3500.0,1500.0,1500.0,70.0,70.0,1320.0,14300,1307.0,10.94,231.73,0.191,1330.0,19.95,0.001395,0.625,12.0
Tier 2,Leipzig,5000,7,0,1000,7000,2450.0,2550.0,4550.0,35.0,49.0,0.0,9100,1204.0,7.56,4286.54,0.087,931.0,13.96,0.001535,,
Tier 2,Leipzig,5000,7,3,1000,7000,3290.0,1710.0,3710.0,47.0,65.8,330.0,11050,1436.5,7.69,4921.56,0.105,1250.2,18.75,0.001697,0.625,12.0
Tier 2,Leipzig,5000,7,5,1000,7000,3850.0,1150.0,3150.0,55.0,77.0,550.0,12350,1591.5,7.76,5344.91,0.118,1463.0,21.95,0.001777,0.625,12.0
Tier 2,Leipzig,5000,7,8,1000,7000,4690.0,310.0,2310.0,67.0,93.8,880.0,14300,1824.0,7.84,5979.94,0.136,1782.2,26.73,0.001869,0.625,12.0
Tier 2,Leipzig,5000,7,10,1000,7000,4900.0,100.0,2100.0,70.0,98.0,1100.0,15600,1874.0,8.32,5235.86,0.149,1862.0,27.93,0.00179,0.625,12.0
Tier 2,Leipzig,5000,7,12,1000,7000,4900.0,100.0,2100.0,70.0,98.0,1320.0,16900,1861.0,9.08,3791.32,0.161,1862.0,27.93,0.001653,0.625,12.0
Tier 2,Leipzig,5000,10,0,1000,10000,3500.0,1500.0,6500.0,35.0,70.0,0.0,13000,1720.0,7.56,6123.63,0.087,1330.0,19.95,0.001535,,
Tier 2,Leipzig,5000,10,3,1000,10000,4700.0,300.0,5300.0,47.0,94.0,330.0,14950,2060.5,7.26,7959.44,0.1,1786.0,26.79,0.001792,0.625,12.0
Tier 2,Leipzig,5000,10,5,1000,10000,5000.0,0.0,5000.0,50.0,100.0,550.0,16250,2137.5,7.6,7515.55,0.108,1900.0,28.5,0.001754,0.625,12.0
Tier 2,Leipzig,5000,10,8,1000,10000,5000.0,0.0,5000.0,50.0,100.0,880.0,18200,2118.0,8.59,5348.74,0.121,1900.0,28.5,0.001566,0.625,12.0
Tier 2,Leipzig,5000,10,10,1000,10000,5000.0,0.0,5000.0,50.0,100.0,1100.0,19500,2105.0,9.26,3904.21,0.13,1900.0,28.5,0.001462,0.625,12.0
Tier 2,Leipzig,5000,10,12,1000,10000,5000.0,0.0,5000.0,50.0,100.0,1320.0,20800,2092.0,9.94,2459.67,0.139,1900.0,28.5,0.00137,0.625,12.0
Tier 2,Dresden,3500,3,0,1020,3060,1071.0,2429.0,1989.0,35.0,30.6,0.0,3900,527.1,7.4,1960.5,0.085,406.98,6.1,0.001565,,
Tier 2,Dresden,3500,3,3,1020,3060,1438.2,2061.8,1621.8,47.0,41.09,330.0,5850,617.76,9.47,1018.5,0.127,546.52,8.2,0.001401,0.625,12.0
Tier 2,Dresden,3500,3,5,1020,3060,1683.0,1817.0,1377.0,55.0,48.09,550.0,7150,678.2,10.54,390.49,0.156,639.54,9.59,0.001342,0.625,12.0
Tier 2,Dresden,3500,3,8,1020,3060,2050.2,1449.8,1009.8,67.0,58.58,880.0,9100,768.86,11.84,-551.52,0.198,779.08,11.69,0.001284,0.625,12.0
Tier 2,Dresden,3500,3,10,1020,3060,2142.0,1358.0,918.0,70.0,61.2,1100.0,10400,783.4,13.28,-1689.86,0.227,813.96,12.21,0.001174,0.625,12.0
Tier 2,Dresden,3500,3,12,1020,3060,2142.0,1358.0,918.0,70.0,61.2,1320.0,11700,770.4,15.19,-3134.39,0.255,813.96,12.21,0.001044,0.625,12.0
Tier 2,Dresden,3500,5,0,1020,5100,1785.0,1715.0,3315.0,35.0,51.0,0.0,6500,878.5,7.4,3267.5,0.085,678.3,10.17,0.001565,,
Tier 2,Dresden,3500,5,3,1020,5100,2397.0,1103.0,2703.0,47.0,68.49,330.0,8450,1042.6,8.1,3142.03,0.11,910.86,13.66,0.001617,0.625,12.0
Tier 2,Dresden,3500,5,5,1020,5100,2805.0,695.0,2295.0,55.0,80.14,550.0,9750,1152.0,8.46,3058.38,0.127,1065.9,15.99,0.00164,0.625,12.0
Tier 2,Dresden,3500,5,8,1020,5100,3417.0,83.0,1683.0,67.0,97.63,880.0,11700,1316.1,8.89,2932.91,0.153,1298.46,19.48,0.001665,0.625,12.0
Tier 2,Dresden,3500,5,10,1020,5100,3500.0,0.0,1600.0,68.63,100.0,1100.0,13000,1328.0,9.79,1765.22,0.17,1330.0,19.95,0.001535,0.625,12.0
Tier 2,Dresden,3500,5,12,1020,5100,3500.0,0.0,1600.0,68.63,100.0,1320.0,14300,1315.0,10.87,320.68,0.187,1330.0,19.95,0.001395,0.625,12.0
Tier 2,Dresden,3500,7,0,1020,7140,2499.0,1001.0,4641.0,35.0,71.4,0.0,9100,1229.9,7.4,4574.5,0.085,949.62,14.24,0.001565,,
Tier 2,Dresden,3500,7,3,1020,7140,3355.8,144.2,3784.2,47.0,95.88,330.0,11050,1467.44,7.53,5265.57,0.103,1275.2,19.13,0.001731,0.625,12.0
Tier 2,Dresden,3500,7,5,1020,7140,3500.0,0.0,3640.0,49.02,100.0,550.0,12350,1497.7,8.25,4302.01,0.115,1330.0,19.95,0.001615,0.625,12.0
Tier 2,Dresden,3500,7,8,1020,7140,3500.0,0.0,3640.0,49.02,100.0,880.0,14300,1478.2,9.67,2135.2,0.134,1330.0,19.95,0.001395,0.625,12.0
Tier 2,Dresden,3500,7,10,1020,7140,3500.0,0.0,3640.0,49.02,100.0,1100.0,15600,1465.2,10.65,690.66,0.146,1330.0,19.95,0.001279,0.625,12.0
Tier 2,Dresden,3500,7,12,1020,7140,3500.0,0.0,3640.0,49.02,100.0,1320.0,16900,1452.2,11.64,-753.88,0.158,1330.0,19.95,0.00118,0.625,12.0
Tier 2,Dresden,3500,10,0,1020,10200,3500.0,0.0,6700.0,34.31,100.0,0.0,13000,1736.0,7.49,6301.52,0.085,1330.0,19.95,0.001535,,
Tier 2,Dresden,3500,10,3,1020,10200,3500.0,0.0,6700.0,34.31,100.0,330.0,14950,1716.5,8.71,4134.71,0.098,1330.0,19.95,0.001334,0.625,12.0
Tier 2,Dresden,3500,10,5,1020,10200,3500.0,0.0,6700.0,34.31,100.0,550.0,16250,1703.5,9.54,2690.17,0.106,1330.0,19.95,0.001228,0.625,12.0
Tier 2,Dresden,3500,10,8,1020,10200,3500.0,0.0,6700.0,34.31,100.0,880.0,18200,1684.0,10.81,523.36,0.119,1330.0,19.95,0.001096,0.625,12.0
Tier 2,Dresden,3500,10,10,1020,10200,3500.0,0.0,6700.0,34.31,100.0,1100.0,19500,1671.0,11.67,-921.17,0.127,1330.0,19.95,0.001023,0.625,12.0
Tier 2,Dresden,3500,10,12,1020,10200,3500.0,0.0,6700.0,34.31,100.0,1320.0,20800,1658.0,12.55,-2365.71,0.136,1330.0,19.95,0.000959,0.625,12.0
Tier 2,Dresden,4200,3,0,1020,3060,1071.0,3129.0,1989.0,35.0,25.5,0.0,3900,527.1,7.4,1960.5,0.085,406.98,6.1,0.001565,,
Tier 2,Dresden,4200,3,3,1020,3060,1438.2,2761.8,1621.8,47.0,34.24,330.0,5850,617.76,9.47,1018.5,0.127,546.52,8.2,0.001401,0.625,12.0
Tier 2,Dresden,4200,3,5,1020,3060,1683.0,2517.0,1377.0,55.0,40.07,550.0,7150,678.2,10.54,390.49,0.156,639.54,9.59,0.001342,0.625,12.0
Tier 2,Dresden,4200,3,8,1020,3060,2050.2,2149.8,1009.8,67.0,48.81,880.0,9100,768.86,11.84,-551.52,0.198,779.08,11.69,0.001284,0.625,12.0
Tier 2,Dresden,4200,3,10,1020,3060,2142.0,2058.0,918.0,70.0,51.0,1100.0,10400,783.4,13.28,-1689.86,0.227,813.96,12.21,0.001174,0.625,12.0
Tier 2,Dresden,4200,3,12,1020,3060,2142.0,2058.0,918.0,70.0,51.0,1320.0,11700,770.4,15.19,-3134.39,0.255,813.96,12.21,0.001044,0.625,12.0
Tier 2,Dresden,4200,5,0,1020,5100,1785.0,2415.0,3315.0,35.0,42.5,0.0,6500,878.5,7.4,3267.5,0.085,678.3,10.17,0.001565,,
Tier 2,Dresden,4200,5,3,1020,5100,2397.0,1803.0,2703.0,47.0,57.07,330.0,8450,1042.6,8.1,3142.03,0.11,910.86,13.66,0.001617,0.625,12.0
Tier 2,Dresden,4200,5,5,1020,5100,2805.0,1395.0,2295.0,55.0,66.79,550.0,9750,1152.0,8.46,3058.38,0.127,1065.9,15.99,0.00164,0.625,12.0
Tier 2,Dresden,4200,5,8,1020,5100,3417.0,783.0,1683.0,67.0,81.36,880.0,11700,1316.1,8.89,2932.91,0.153,1298.46,19.48,0.001665,0.625,12.0
Tier 2,Dresden,4200,5,10,1020,5100,3570.0,630.0,1530.0,70.0,85.0,1100.0,13000,1349.0,9.64,1998.7,0.17,1356.6,20.35,0.001565,0.625,12.0
Tier 2,Dresden,4200,5,12,1020,5100,3570.0,630.0,1530.0,70.0,85.0,1320.0,14300,1336.0,10.7,554.17,0.187,1356.6,20.35,0.001423,0.625,12.0
Tier 2,Dresden,4200,7,0,1020,7140,2499.0,1701.0,4641.0,35.0,59.5,0.0,9100,1229.9,7.4,4574.5,0.085,949.62,14.24,0.001565,,
Tier 2,Dresden,4200,7,3,1020,7140,3355.8,844.2,3784.2,47.0,79.9,330.0,11050,1467.44,7.53,5265.57,0.103,1275.2,19.13,0.001731,0.625,12.0
Tier 2,Dresden,4200,7,5,1020,7140,3927.0,273.0,3213.0,55.0,93.5,550.0,12350,1625.8,7.6,5726.27,0.115,1492.26,22.38,0.001812,0.625,12.0
Tier 2,Dresden,4200,7,8,1020,7140,4200.0,0.0,2940.0,58.82,100.0,880.0,14300,1688.2,8.47,4470.06,0.134,1596.0,23.94,0.001674,0.625,12.0
Tier 2,Dresden,4200,7,10,1020,7140,4200.0,0.0,2940.0,58.82,100.0,1100.0,15600,1675.2,9.31,3025.52,0.146,1596.0,23.94,0.001535,0.625,12.0
Tier 2,Dresden,4200,7,12,1020,7140,4200.0,0.0,2940.0,58.82,100.0,1320.0,16900,1662.2,10.17,1580.98,0.158,1596.0,23.94,0.001417,0.625,12.0
Tier 2,Dresden,4200,10,0,1020,10200,3570.0,630.0,6630.0,35.0,85.0,0.0,13000,1757.0,7.4,6535.01,0.085,1356.6,20.35,0.001565,,
Tier 2,Dresden,4200,10,3,1020,10200,4200.0,0.0,6000.0,41.18,100.0,330.0,14950,1926.5,7.76,6469.57,0.098,1596.0,23.94,0.001601,0.625,12.0
Tier 2,Dresden,4200,10,5,1020,10200,4200.0,0.0,6000.0,41.18,100.0,550.0,16250,1913.5,8.49,5025.03,0.106,1596.0,23.94,0.001473,0.625,12.0
Tier 2,Dresden,4200,10,8,1020,10200,4200.0,0.0,6000.0,41.18,100.0,880.0,18200,1894.0,9.61,2858.23,0.119,1596.0,23.94,0.001315,0.625,12.0
Tier 2,Dresden,4200,10,10,1020,10200,4200.0,0.0,6000.0,41.18,100.0,1100.0,19500,1881.0,10.37,1413.69,0.127,1596.0,23.94,0.001228,0.625,12.0
Tier 2,Dresden,4200,10,12,1020,10200,4200.0,0.0,6000.0,41.18,100.0,1320.0,20800,1868.0,11.13,-30.85,0.136,1596.0,23.94,0.001151,0.625,12.0
Tier 2,Dresden,5000,3,0,1020,3060,1071.0,3929.0,1989.0,35.0,21.42,0.0,3900,527.1,7.4,1960.5,0.085,406.98,6.1,0.001565,,
Tier 2,Dresden,5000,3,3,1020,3060,1438.2,3561.8,1621.8,47.0,28.76,330.0,5850,617.76,9.47,1018.5,0.127,546.52,8.2,0.001401,0.625,12.0
Tier 2,Dresden,5000,3,5,1020,3060,1683.0,3317.0,1377.0,55.0,33.66,550.0,7150,678.2,10.54,390.49,0.156,639.54,9.59,0.001342,0.625,12.0
Tier 2,Dresden,5000,3,8,1020,3060,2050.2,2949.8,1009.8,67.0,41.0,880.0,9100,768.86,11.84,-551.52,0.198,779.08,11.69,0.001284,0.625,12.0
Tier 2,Dresden,5000,3,10,1020,3060,2142.0,2858.0,918.0,70.0,42.84,1100.0,10400,783.4,13.28,-1689.86,0.227,813.96,12.21,0.001174,0.625,12.0
Tier 2,Dresden,5000,3,12,1020,3060,2142.0,2858.0,918.0,70.0,42.84,1320.0,11700,770.4,15.19,-3134.39,0.255,813.96,12.21,0.001044,0.625,12.0
Tier 2,Dresden,5000,5,0,1020,5100,1785.0,3215.0,3315.0,35.0,35.7,0.0,6500,878.5,7.4,3267.5,0.085,678.3,10.17,0.001565,,
Tier 2,Dresden,5000,5,3,1020,5100,2397.0,2603.0,2703.0,47.0,47.94,330.0,8450,1042.6,8.1,3142.03,0.11,910.86,13.66,0.001617,0.625,12.0
Tier 2,Dresden,5000,5,5,1020,5100,2805.0,2195.0,2295.0,55.0,56.1,550.0,9750,1152.0,8.46,3058.38,0.127,1065.9,15.99,0.00164,0.625,12.0
Tier 2,Dresden,5000,5,8,1020,5100,3417.0,1583.0,1683.0,67.0,68.34,880.0,11700,1316.1,8.89,2932.91,0.153,1298.46,19.48,0.001665,0.625,12.0
Tier 2,Dresden,5000,5,10,1020,5100,3570.0,1430.0,1530.0,70.0,71.4,1100.0,13000,1349.0,9.64,1998.7,0.17,1356.6,20.35,0.001565,0.625,12.0
Tier 2,Dresden,5000,5,12,1020,5100,3570.0,1430.0,1530.0,70.0,71.4,1320.0,14300,1336.0,10.7,554.17,0.187,1356.6,20.35,0.001423,0.625,12.0
Tier 2,Dresden,5000,7,0,1020,7140,2499.0,2501.0,4641.0,35.0,49.98,0.0,9100,1229.9,7.4,4574.5,0.085,949.62,14.24,0.001565,,
Tier 2,Dresden,5000,7,3,1020,7140,3355.8,1644.2,3784.2,47.0,67.12,330.0,11050,1467.44,7.53,5265.57,0.103,1275.2,19.13,0.001731,0.625,12.0
Tier 2,Dresden,5000,7,5,1020,7140,3927.0,1073.0,3213.0,55.0,78.54,550.0,12350,1625.8,7.6,5726.27,0.115,1492.26,22.38,0.001812,0.625,12.0
Tier 2,Dresden,5000,7,8,1020,7140,4783.8,216.2,2356.2,67.0,95.68,880.0,14300,1863.34,7.67,6417.34,0.134,1817.84,27.27,0.001907,0.625,12.0
Tier 2,Dresden,5000,7,10,1020,7140,4998.0,2.0,2142.0,70.0,99.96,1100.0,15600,1914.6,8.15,5687.26,0.146,1899.24,28.49,0.001826,0.625,12.0
Tier 2,Dresden,5000,7,12,1020,7140,4998.0,2.0,2142.0,70.0,99.96,1320.0,16900,1901.6,8.89,4242.73,0.158,1899.24,28.49,0.001686,0.625,12.0
Tier 2,Dresden,5000,10,0,1020,10200,3570.0,1430.0,6630.0,35.0,71.4,0.0,13000,1757.0,7.4,6535.01,0.085,1356.6,20.35,0.001565,,
Tier 2,Dresden,5000,10,3,1020,10200,4794.0,206.0,5406.0,47.0,95.88,330.0,14950,2104.7,7.1,8450.87,0.098,1821.72,27.33,0.001828,0.625,12.0
Tier 2,Dresden,5000,10,5,1020,10200,5000.0,0.0,5200.0,49.02,100.0,550.0,16250,2153.5,7.55,7693.45,0.106,1900.0,28.5,0.001754,0.625,12.0
Tier 2,Dresden,5000,10,8,1020,10200,5000.0,0.0,5200.0,49.02,100.0,880.0,18200,2134.0,8.53,5526.64,0.119,1900.0,28.5,0.001566,0.625,12.0
Tier 2,Dresden,5000,10,10,1020,10200,5000.0,0.0,5200.0,49.02,100.0,1100.0,19500,2121.0,9.19,4082.1,0.127,1900.0,28.5,0.001462,0.625,12.0
Tier 2,Dresden,5000,10,12,1020,10200,5000.0,0.0,5200.0,49.02,100.0,1320.0,20800,2108.0,9.87,2637.56,0.136,1900.0,28.5,0.00137,0.625,12.0
Tier 3,Oldenburg,3500,3,0,890,2670,934.5,2565.5,1735.5,35.0,26.7,0.0,3900,454.95,8.57,1158.31,0.097,355.11,5.33,0.001366,,
Tier 3,Oldenburg,3500,3,3,890,2670,1254.9,2245.1,1415.1,47.0,35.85,297.0,5850,531.57,11.01,60.2,0.146,476.86,7.15,0.001223,0.625,12.0
Tier 3,Oldenburg,3500,3,5,890,2670,1468.5,2031.5,1201.5,55.0,41.96,495.0,7150,582.65,12.27,-671.87,0.179,558.03,8.37,0.001171,0.625,12.0
Tier 3,Oldenburg,3500,3,8,890,2670,1788.9,1711.1,881.1,67.0,51.11,792.0,9100,659.27,13.8,-1769.98,0.227,679.78,10.2,0.001121,0.625,12.0
Tier 3,Oldenburg,3500,3,10,890,2670,1869.0,1631.0,801.0,70.0,53.4,990.0,10400,670.3,15.52,-2947.34,0.26,710.22,10.65,0.001024,0.625,12.0
Tier 3,Oldenburg,3500,3,12,890,2670,1869.0,1631.0,801.0,70.0,53.4,1188.0,11700,657.3,17.8,-4391.88,0.292,710.22,10.65,0.000911,0.625,12.0
Tier 3,Oldenburg,3500,5,0,890,4450,1557.5,1942.5,2892.5,35.0,44.5,0.0,6500,758.25,8.57,1930.52,0.097,591.85,8.88,0.001366,,
Tier 3,Oldenburg,3500,5,3,890,4450,2091.5,1408.5,2358.5,47.0,59.76,297.0,8450,898.95,9.4,1544.87,0.127,794.77,11.92,0.001411,0.625,12.0
Tier 3,Oldenburg,3500,5,5,890,4450,2447.5,1052.5,2002.5,55.0,69.93,495.0,9750,992.75,9.82,1287.78,0.146,930.05,13.95,0.001431,0.625,12.0
Tier 3,Oldenburg,3500,5,8,890,4450,2981.5,518.5,1468.5,67.0,85.19,792.0,11700,1133.45,10.32,902.14,0.175,1132.97,16.99,0.001453,0.625,12.0
Tier 3,Oldenburg,3500,5,10,890,4450,3115.0,385.0,1335.0,70.0,89.0,990.0,13000,1160.5,11.2,-97.11,0.195,1183.7,17.76,0.001366,0.625,12.0
Tier 3,Oldenburg,3500,5,12,890,4450,3115.0,385.0,1335.0,70.0,89.0,1188.0,14300,1147.5,12.46,-1541.65,0.214,1183.7,17.76,0.001242,0.625,12.0
Tier 3,Oldenburg,3500,7,0,890,6230,2180.5,1319.5,4049.5,35.0,62.3,0.0,9100,1061.55,8.57,2702.72,0.097,828.59,12.43,0.001366,,
Tier 3,Oldenburg,3500,7,3,890,6230,2928.1,571.9,3301.9,47.0,83.66,297.0,11050,1266.33,8.73,3029.55,0.118,1112.68,16.69,0.00151,0.625,12.0
Tier 3,Oldenburg,3500,7,5,890,6230,3426.5,73.5,2803.5,55.0,97.9,495.0,12350,1402.85,8.8,3247.43,0.132,1302.07,19.53,0.001581,0.625,12.0
Tier 3,Oldenburg,3500,7,8,890,6230,3500.0,0.0,2730.0,56.18,100.0,792.0,14300,1405.4,10.18,1325.78,0.153,1330.0,19.95,0.001395,0.625,12.0
Tier 3,Oldenburg,3500,7,10,890,6230,3500.0,0.0,2730.0,56.18,100.0,990.0,15600,1392.4,11.2,-118.76,0.167,1330.0,19.95,0.001279,0.625,12.0
Tier 3,Oldenburg,3500,7,12,890,6230,3500.0,0.0,2730.0,56.18,100.0,1188.0,16900,1379.4,12.25,-1563.3,0.181,1330.0,19.95,0.00118,0.625,12.0
Tier 3,Oldenburg,3500,10,0,890,8900,3115.0,385.0,5785.0,35.0,89.0,0.0,13000,1516.5,8.57,3861.03,0.097,1183.7,17.76,0.001366,,
Tier 3,Oldenburg,3500,10,3,890,8900,3500.0,0.0,5400.0,39.33,100.0,297.0,14950,1612.5,9.27,2978.4,0.112,1330.0,19.95,0.001334,0.625,12.0
Tier 3,Oldenburg,3500,10,5,890,8900,3500.0,0.0,5400.0,39.33,100.0,495.0,16250,1599.5,10.16,1533.86,0.122,1330.0,19.95,0.001228,0.625,12.0
Tier 3,Oldenburg,3500,10,8,890,8900,3500.0,0.0,5400.0,39.33,100.0,792.0,18200,1580.0,11.52,-632.95,0.136,1330.0,19.95,0.001096,0.625,12.0
Tier 3,Oldenburg,3500,10,10,890,8900,3500.0,0.0,5400.0,39.33,100.0,990.0,19500,1567.0,12.44,-2077.49,0.146,1330.0,19.95,0.001023,0.625,12.0
Tier 3,Oldenburg,3500,10,12,890,8900,3500.0,0.0,5400.0,39.33,100.0,1188.0,20800,1554.0,13.38,-3522.03,0.156,1330.0,19.95,0.000959,0.625,12.0
Tier 3,Oldenburg,4200,3,0,890,2670,934.5,3265.5,1735.5,35.0,22.25,0.0,3900,454.95,8.57,1158.31,0.097,355.11,5.33,0.001366,,
Tier 3,Oldenburg,4200,3,3,890,2670,1254.9,2945.1,1415.1,47.0,29.88,297.0,5850,531.57,11.01,60.2,0.146,476.86,7.15,0.001223,0.625,12.0
Tier 3,Oldenburg,4200,3,5,890,2670,1468.5,2731.5,1201.5,55.0,34.96,495.0,7150,582.65,12.27,-671.87,0.179,558.03,8.37,0.001171,0.625,12.0
Tier 3,Oldenburg,4200,3,8,890,2670,1788.9,2411.1,881.1,67.0,42.59,792.0,9100,659.27,13.8,-1769.98,0.227,679.78,10.2,0.001121,0.625,12.0
Tier 3,Oldenburg,4200,3,10,890,2670,1869.0,2331.0,801.0,70.0,44.5,990.0,10400,670.3,15.52,-2947.34,0.26,710.22,10.65,0.001024,0.625,12.0
Tier 3,Oldenburg,4200,3,12,890,2670,1869.0,2331.0,801.0,70.0,44.5,1188.0,11700,657.3,17.8,-4391.88,0.292,710.22,10.65,0.000911,0.625,12.0
Tier 3,Oldenburg,4200,5,0,890,4450,1557.5,2642.5,2892.5,35.0,37.08,0.0,6500,758.25,8.57,1930.52,0.097,591.85,8.88,0.001366,,
Tier 3,Oldenburg,4200,5,3,890,4450,2091.5,2108.5,2358.5,47.0,49.8,297.0,8450,898.95,9.4,1544.87,0.127,794.77,11.92,0.001411,0.625,12.0
Tier 3,Oldenburg,4200,5,5,890,4450,2447.5,1752.5,2002.5,55.0,58.27,495.0,9750,992.75,9.82,1287.78,0.146,930.05,13.95,0.001431,0.625,12.0
Tier 3,Oldenburg,4200,5,8,890,4450,2981.5,1218.5,1468.5,67.0,70.99,792.0,11700,1133.45,10.32,902.14,0.175,1132.97,16.99,0.001453,0.625,12.0
Tier 3,Oldenburg,4200,5,10,890,4450,3115.0,1085.0,1335.0,70.0,74.17,990.0,13000,1160.5,11.2,-97.11,0.195,1183.7,17.76,0.001366,0.625,12.0
Tier 3,Oldenburg,4200,5,12,890,4450,3115.0,1085.0,1335.0,70.0,74.17,1188.0,14300,1147.5,12.46,-1541.65,0.214,1183.7,17.76,0.001242,0.625,12.0
Tier 3,Oldenburg,4200,7,0,890,6230,2180.5,2019.5,4049.5,35.0,51.92,0.0,9100,1061.55,8.57,2702.72,0.097,828.59,12.43,0.001366,,
Tier 3,Oldenburg,4200,7,3,890,6230,2928.1,1271.9,3301.9,47.0,69.72,297.0,11050,1266.33,8.73,3029.55,0.118,1112.68,16.69,0.00151,0.625,12.0
Tier 3,Oldenburg,4200,7,5,890,6230,3426.5,773.5,2803.5,55.0,81.58,495.0,12350,1402.85,8.8,3247.43,0.132,1302.07,19.53,0.001581,0.625,12.0
Tier 3,Oldenburg,4200,7,8,890,6230,4174.1,25.9,2055.9,67.0,99.38,792.0,14300,1607.63,8.9,3574.25,0.153,1586.16,23.79,0.001664,0.625,12.0
Tier 3,Oldenburg,4200,7,10,890,6230,4200.0,0.0,2030.0,67.42,100.0,990.0,15600,1602.4,9.74,2216.1,0.167,1596.0,23.94,0.001535,0.625,12.0
Tier 3,Oldenburg,4200,7,12,890,6230,4200.0,0.0,2030.0,67.42,100.0,1188.0,16900,1589.4,10.63,771.56,0.181,1596.0,23.94,0.001417,0.625,12.0
Tier 3,Oldenburg,4200,10,0,890,8900,3115.0,1085.0,5785.0,35.0,74.17,0.0,13000,1516.5,8.57,3861.03,0.097,1183.7,17.76,0.001366,,
Tier 3,Oldenburg,4200,10,3,890,8900,4183.0,17.0,4717.0,47.0,99.6,297.0,14950,1817.4,8.23,5256.56,0.112,1589.54,23.84,0.001595,0.625,12.0
Tier 3,Oldenburg,4200,10,5,890,8900,4200.0,0.0,4700.0,47.19,100.0,495.0,16250,1809.5,8.98,3868.72,0.122,1596.0,23.94,0.001473,0.625,12.0
Tier 3,Oldenburg,4200,10,8,890,8900,4200.0,0.0,4700.0,47.19,100.0,792.0,18200,1790.0,10.17,1701.91,0.136,1596.0,23.94,0.001315,0.625,12.0
Tier 3,Oldenburg,4200,10,10,890,8900,4200.0,0.0,4700.0,47.19,100.0,990.0,19500,1777.0,10.97,257.37,0.146,1596.0,23.94,0.001228,0.625,12.0
Tier 3,Oldenburg,4200,10,12,890,8900,4200.0,0.0,4700.0,47.19,100.0,1188.0,20800,1764.0,11.79,-1187.16,0.156,1596.0,23.94,0.001151,0.625,12.0
Tier 3,Oldenburg,5000,3,0,890,2670,934.5,4065.5,1735.5,35.0,18.69,0.0,3900,454.95,8.57,1158.31,0.097,355.11,5.33,0.001366,,
Tier 3,Oldenburg,5000,3,3,890,2670,1254.9,3745.1,1415.1,47.0,25.1,297.0,5850,531.57,11.01,60.2,0.146,476.86,7.15,0.001223,0.625,12.0
Tier 3,Oldenburg,5000,3,5,890,2670,1468.5,3531.5,1201.5,55.0,29.37,495.0,7150,582.65,12.27,-671.87,0.179,558.03,8.37,0.001171,0.625,12.0
Tier 3,Oldenburg,5000,3,8,890,2670,1788.9,3211.1,881.1,67.0,35.78,792.0,9100,659.27,13.8,-1769.98,0.227,679.78,10.2,0.001121,0.625,12.0
Tier 3,Oldenburg,5000,3,10,890,2670,1869.0,3131.0,801.0,70.0,37.38,990.0,10400,670.3,15.52,-2947.34,0.26,710.22,10.65,0.001024,0.625,12.0
Tier 3,Oldenburg,5000,3,12,890,2670,1869.0,3131.0,801.0,70.0,37.38,1188.0,11700,657.3,17.8,-4391.88,0.292,710.22,10.65,0.000911,0.625,12.0
Tier 3,Oldenburg,5000,5,0,890,4450,1557.5,3442.5,2892.5,35.0,31.15,0.0,6500,758.25,8.57,1930.52,0.097,591.85,8.88,0.001366,,
Tier 3,Oldenburg,5000,5,3,890,4450,2091.5,2908.5,2358.5,47.0,41.83,297.0,8450,898.95,9.4,1544.87,0.127,794.77,11.92,0.001411,0.625,12.0
Tier 3,Oldenburg,5000,5,5,890,4450,2447.5,2552.5,2002.5,55.0,48.95,495.0,9750,992.75,9.82,1287.78,0.146,930.05,13.95,0.001431,0.625,12.0
Tier 3,Oldenburg,5000,5,8,890,4450,2981.5,2018.5,1468.5,67.0,59.63,792.0,11700,1133.45,10.32,902.14,0.175,1132.97,16.99,0.001453,0.625,12.0
Tier 3,Oldenburg,5000,5,10,890,4450,3115.0,1885.0,1335.0,70.0,62.3,990.0,13000,1160.5,11.2,-97.11,0.195,1183.7,17.76,0.001366,0.625,12.0
Tier 3,Oldenburg,5000,5,12,890,4450,3115.0,1885.0,1335.0,70.0,62.3,1188.0,14300,1147.5,12.46,-1541.65,0.214,1183.7,17.76,0.001242,0.625,12.0
